company_code,company_name,period_year,report_year,published_date,report_title,source_url,revenue,net_profit,operating_cash_flow,total_assets,total_liabilities,summary_page,balance_sheet_page,evidence_grade,verification_status,accounting_basis,notes
600519,贵州茅台,2022,2022,2023-03-31,贵州茅台2022年年度报告,https://static.cninfo.com.cn/finalpage/2023-03-31/1216281757.PDF,124099843771.99,62716443738.27,36698595830.03,254364804995.25,49400116741.17,5,56,A,verified,original,首次公开的2022年度数据
600519,贵州茅台,2022,2023,2024-04-03,贵州茅台2023年年度报告,https://dataclouds.cninfo.com.cn/shgonggao/2024/2024-04-03/93d5007bf0fa11ee84b5fa163e26e5de.pdf,124099843771.99,62717467870.12,36698595830.03,254500826096.02,49562744832.16,5,60,A,verified,restated,依据企业会计准则解释第16号追溯调整
600519,贵州茅台,2023,2023,2024-04-03,贵州茅台2023年年度报告,https://dataclouds.cninfo.com.cn/shgonggao/2024/2024-04-03/93d5007bf0fa11ee84b5fa163e26e5de.pdf,147693604994.14,74734071550.75,66593247721.09,272699660092.25,49043190797.43,5,60,A,verified,reported,2023年度已审计数据
600519,贵州茅台,2024,2024,2025-04-03,贵州茅台2024年年度报告,https://dataclouds.cninfo.com.cn/shgonggao/2025/2025-04-03/74014e840fc311f08a18fa163e957f7a.pdf,170899152276.34,86228146421.62,92463692168.43,298944579918.70,56933264798.10,5,60,A,verified,reported,2024年度已审计数据
600519,贵州茅台,2025,2025,2026-04-17,贵州茅台2025年年度报告,https://www.sse.com.cn/disclosure/listedinfo/announcement/c/new/2026-04-17/600519_20260417_9QS4.pdf,168838102514.79,82320067101.68,61522204989.35,303834844021.44,49875590112.37,6,58,A,verified,reported,2025年度已审计数据
