company_code,company_name,period_year,report_year,published_date,report_title,source_url,revenue,net_profit,operating_cash_flow,total_assets,total_liabilities,summary_page,balance_sheet_page,evidence_grade,verification_status,accounting_basis,notes
000568,泸州老窖,2022,2022,2023-04-29,泸州老窖股份有限公司2022年年度报告全文,https://static.cninfo.com.cn/finalpage/2023-04-29/1216686514.PDF,25123563271.62,10365383281.80,8262648269.72,51385481354.52,17056686417.88,7,85,A,verified,reported,2022年度已审计数据；年报明确无需追溯调整或重述以前年度会计数据
000568,泸州老窖,2023,2023,2024-04-27,泸州老窖股份有限公司2023年年度报告全文,https://static.cninfo.com.cn/finalpage/2024-04-27/1219872991.PDF,30233301388.26,13246394700.59,10648364935.46,63294455201.60,21762747471.75,7,84,A,verified,reported,2023年度已审计数据；年报明确无需追溯调整或重述以前年度会计数据
000568,泸州老窖,2024,2024,2025-04-28,泸州老窖股份有限公司2024年年度报告全文,https://static.cninfo.com.cn/finalpage/2025-04-28/1223350383.pdf,31196248208.33,13472986476.01,19181768363.65,68334595564.58,20826588928.87,8,88,A,verified,reported,2024年度已审计数据；年报明确无需追溯调整或重述以前年度会计数据
000568,泸州老窖,2025,2025,2026-04-29,泸州老窖股份有限公司2025年年度报告全文,https://static.cninfo.com.cn/finalpage/2026-04-29/1225240660.PDF,25731010647.32,10830713936.14,7123218677.88,64794994851.27,14900912470.81,7,76,A,verified,reported,2025年度已审计数据；年报明确无需追溯调整或重述以前年度会计数据
