company_code,company_name,period_year,report_year,published_date,report_title,source_url,revenue,net_profit,operating_cash_flow,total_assets,total_liabilities,summary_page,balance_sheet_page,evidence_grade,verification_status,accounting_basis,notes
000333,美的集团,2023,2023,2024-03-28,美的集团股份有限公司2023年年度报告全文,https://static.cninfo.com.cn/finalpage/2024-03-28/1219429374.PDF,372037280000.00,33719935000.00,57902611000.00,486038184000.00,311738535000.00,9,159,A,verified,reported,2023年度已审计数据；年报单位千元并统一换算为元；利润表、资产负债表和现金流量表三表勾稽通过
000333,美的集团,2024,2024,2025-03-29,美的集团股份有限公司2024年年度报告全文,https://static.cninfo.com.cn/finalpage/2025-03-29/1222951181.PDF,407149600000.00,38537237000.00,60511572000.00,604351853000.00,376684462000.00,9,156,A,verified,reported,2024年度已审计数据；年报单位千元并统一换算为元；比较期五项核心数据与首次披露值一致
000333,美的集团,2025,2025,2026-03-31,美的集团股份有限公司2025年年度报告全文,https://static.cninfo.com.cn/finalpage/2026-03-31/1225065145.PDF,456451731000.00,43945411000.00,53345930000.00,608791766000.00,372367543000.00,8,132,A,verified,reported,2025年度已审计数据；年报单位千元并统一换算为元；2023至2024比较期五项核心数据与首次披露值一致
