company_code,company_name,period_year,published_date,report_title,source_url,cost_of_sales,inventory,prior_year_inventory,contract_liabilities,prior_year_contract_liabilities,income_statement_page,inventory_page,contract_liabilities_page,evidence_grade,verification_status,notes
600519,贵州茅台,2023,2024-04-03,贵州茅台2023年年度报告,https://dataclouds.cninfo.com.cn/shgonggao/2024/2024-04-03/93d5007bf0fa11ee84b5fa163e26e5de.pdf,11867273851.78,46435185061.53,38824374236.24,14125755802.29,15471920924.98,63,59,60,A,verified,合并口径；2022年比较数采用2023年报追溯调整后的资产负债数据
600519,贵州茅台,2024,2025-04-03,贵州茅台2024年年度报告,https://dataclouds.cninfo.com.cn/shgonggao/2025/2025-04-03/74014e840fc311f08a18fa163e957f7a.pdf,13789482367.98,54343285157.47,46435185061.53,9592453014.66,14125755802.29,63,59,60,A,verified,合并口径；总资产包含财务公司业务，结构指标不等同于酒类单品表现
600519,贵州茅台,2025,2026-04-17,贵州茅台2025年年度报告,https://www.sse.com.cn/disclosure/listedinfo/announcement/c/new/2026-04-17/600519_20260417_9QS4.pdf,14892277570.91,61427421796.18,54343285157.47,8006739780.94,9592453014.66,61,57,58,A,verified,合并口径；总资产包含财务公司业务，存货占资产仅用于结构观察
000858,五粮液,2023,2024-04-29,宜宾五粮液股份有限公司2023年年度报告全文,https://static.cninfo.com.cn/finalpage/2024-04-29/1219873658.PDF,20157143952.21,17387841712.87,15980657013.57,6864383635.25,12379125542.70,58,53,54,A,verified,合并口径；2022年比较数采用2023年报年初余额
000858,五粮液,2024,2025-04-26,宜宾五粮液股份有限公司2024年年度报告全文,https://static.cninfo.com.cn/finalpage/2025-04-26/1223311527.PDF,20461423083.74,18233702166.62,17387841712.87,11689880975.04,6864383635.25,61,56,57,A,verified,合并口径；存货与合同负债均取年末资产负债表余额
000858,五粮液,2025,2026-04-30,宜宾五粮液股份有限公司2025年年度报告全文,https://disc.static.szse.cn/disc/disk03/finalpage/2026-04-30/7b179575-3e07-4607-8d7e-d1bb9c4c8786.PDF,9101956953.59,20065336751.20,18233702166.62,13459591156.56,11689880975.04,56,51,52,A,verified,合并口径；年报披露2025年部分业务收入确认核算经谨慎性调整
000568,泸州老窖,2023,2024-04-27,泸州老窖股份有限公司2023年年度报告全文,https://static.cninfo.com.cn/finalpage/2024-04-27/1219872991.PDF,3537151403.15,11622043947.46,9840742374.85,2672977090.30,2566374718.76,87,83,84,A,verified,合并口径；年报明确无需追溯调整或重述以前年度会计数据
000568,泸州老窖,2024,2025-04-28,泸州老窖股份有限公司2024年年度报告全文,https://static.cninfo.com.cn/finalpage/2025-04-28/1223350383.pdf,3888116183.93,13392794475.96,11622043947.46,3978131528.88,2672977090.30,91,86,87,A,verified,合并口径；年报明确无需追溯调整或重述以前年度会计数据
000568,泸州老窖,2025,2026-04-29,泸州老窖股份有限公司2025年年度报告全文,https://static.cninfo.com.cn/finalpage/2026-04-29/1225240660.PDF,3441749582.69,15396031707.35,13392794475.96,3367443727.83,3978131528.88,79,74,75,A,verified,合并口径；存货与合同负债均取年末资产负债表余额
