company_code,company_name,period_year,report_year,published_date,report_title,source_url,revenue,net_profit,operating_cash_flow,total_assets,total_liabilities,summary_page,balance_sheet_page,evidence_grade,verification_status,accounting_basis,notes
300750,宁德时代,2022,2022,2023-03-10,宁德时代新能源科技股份有限公司2022年年度报告全文,https://static.cninfo.com.cn/finalpage/2023-03-10/1216084559.PDF,328593987500.00,30729163500.00,61208843300.00,600952351900.00,424043189900.00,6,101,A,verified,reported,2022年度已审计数据；主要数据单位万元并换算为元
300750,宁德时代,2023,2023,2024-03-16,宁德时代新能源科技股份有限公司2023年年度报告全文,https://static.cninfo.com.cn/finalpage/2024-03-16/1219313047.PDF,400917044900.00,44121248300.00,92826124400.00,717168041100.00,497284890500.00,6,116,A,verified,reported,2023年度已审计数据；主要数据单位万元并换算为元
300750,宁德时代,2024,2024,2025-03-15,宁德时代新能源科技股份有限公司2024年年度报告全文,https://static.cninfo.com.cn/finalpage/2025-03-15/1222806982.PDF,362012554000.00,50744682000.00,96990345000.00,786658123000.00,513201949000.00,8,115,A,verified,reported,2024年度已审计数据；主要数据单位千元并换算为元
